"K","exclus","semcoh","heldout","residual","bound","lbound","em.its","engine","noise","mean_word_error","uniq","highest_heldout_k"
8,9.3771857721315,-61.4860002678937,-7.65542790409943,1.4925639984935,-242400.037475698,-242389.432872795,92,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
9,9.39581474083139,-62.88241209604,-7.71581713388024,1.43340438053579,-241624.18341541,-241611.38158793,74,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
10,9.40460025140216,-72.7962999100541,-7.81418912560127,1.42082275792793,-240278.249597712,-240263.145185139,94,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
11,9.37270698782248,-74.0931210156683,-7.83281777823364,1.43412244285902,-239374.718742574,-239357.216434729,89,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
12,9.45058839323084,-77.1233893340568,-7.83471291298115,1.44647737739158,-237869.971142289,-237849.983927794,63,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
13,9.50387197298424,-71.2516397204425,-7.87904759662977,1.47616262983827,-235878.635351574,-235856.083187721,111,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
14,9.49875419270532,-78.9673203480758,-7.91350729253171,1.4936139778588,-235298.718376774,-235273.527155592,98,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
15,9.49784939851974,-84.4346281262444,-7.95804055145266,1.52297894736548,-234607.516182227,-234579.616910843,69,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
16,9.51774465004191,-83.0173381218267,-8.05294647734505,1.53651737319104,-233740.563702408,-233709.891842302,92,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
17,9.5056201149814,-84.6196714351275,-8.02707595791692,1.56135369861046,-232890.357417148,-232856.852343698,107,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
18,9.56406014534952,-87.7982583720084,-8.15502802801338,1.60085379542568,-232011.755086036,-231975.359640828,135,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
19,9.55341234665558,-82.9378504405835,-8.09633360055611,1.62515334257501,-231617.769303381,-231578.429419193,98,"tesseract","bin + weak",2.88198757763975,"tesseract bin + weak",8
